Section,Stat,Value
SM 6,BRU Instructions,152
SM 80,RegistersWrites,0
SM 31,SFU Instructions,1320
SM 75,BlockCount,1
SM 12,RegistersReads,0
SM 56,RegistersReads,0
SM 4,Cycles,101457
SM 63,SFU Instructions,536
SM 12,IMU Instructions,96
SM 3,BlockCount,2
SM 27,SFU Instructions,1000
SM 16,RegistersWrites,0
SM 57,DPU Instructions,0
SM 10,BRU Instructions,152
SM 81,SFU Instructions,552
SM 54,LDS Instructions,48
SM 30,RegistersReads,0
SM 5,Cycles,101457
SM 33,Cycles,101457
SM 52,InstructionsPerCycle,0
Config.LSU,ReadBufferSize,1
SM 27,SPU Instructions,0
SM 18,DPU Instructions,0
Config.IMU,NumSPULanes,32
SM 25,IMU Instructions,168
SM 33,SFU Instructions,1088
Config.IMU,Width,1
SM 16,IMU Instructions,168
SM 81,RegistersWrites,0
SM 24,InstructionsPerCycle,0
SM 26,Cycles,101457
SM 66,InstructionsPerCycle,0
SM 30,DPU Instructions,24
SM 4,BRU Instructions,152
SM 38,RegistersReads,0
SM 27,RegistersWrites,0
SM 11,DPU Instructions,0
SM 39,RegistersReads,0
SM 42,IMU Instructions,128
SM 55,BlockCount,1
SM 75,SFU Instructions,552
Config.SFU,NumSPULanes,32
SM 80,SPU Instructions,0
SM 47,SFU Instructions,272
SM 12,InstructionsPerCycle,0
SM 12,SFU Instructions,744
SM 41,Cycles,101457
SM 70,InstructionsPerCycle,0
SM 77,IMU Instructions,88
SM 24,SFU Instructions,1000
SM 25,InstructionsPerCycle,0
SM 38,LDS Instructions,96
SM 80,BlockCount,1
SM 44,SFU Instructions,272
SM 45,BRU Instructions,56
SM 25,SPU Instructions,0
SM 55,DPU Instructions,0
SM 58,InstructionsPerCycle,0
SM 69,SPU Instructions,0
SM 74,RegistersWrites,0
SM 39,Cycles,101457
SM 33,BRU Instructions,176
SM 47,RegistersReads,0
SM 59,Cycles,101457
Config.FrontEnd,DispatchLatency,2
SM 71,BlockCount,1
SM 43,DPU Instructions,24
SM 15,LDS Instructions,88
Config.SFU,DispatchBufferSize,2
SM 10,RegistersWrites,0
SM 38,SFU Instructions,1088
SM 68,Cycles,101457
SM 6,SPU Instructions,0
SM 44,RegistersWrites,0
SM 61,InstructionsPerCycle,0
SM 37,RegistersReads,0
SM 34,IMU Instructions,128
SM 19,InstructionsPerCycle,0
SM 56,LDS Instructions,48
SM 3,InstructionsPerCycle,0
SM 35,InstructionsPerCycle,0
SM 80,DPU Instructions,0
SM 42,SPU Instructions,0
SM 50,DPU Instructions,0
SM 26,LDS Instructions,104
SM 40,SPU Instructions,0
SM 74,DPU Instructions,0
SM 39,BlockCount,2
SM 20,RegistersReads,0
SM 56,DPU Instructions,0
SM 81,IMU Instructions,88
SM 56,RegistersWrites,0
SM 29,RegistersWrites,0
SM 20,LDS Instructions,104
SM 55,SFU Instructions,536
SM 29,SFU Instructions,1320
SM 32,SPU Instructions,0
SM 36,SFU Instructions,1088
SM 71,RegistersWrites,0
SM 66,RegistersWrites,0
SM 81,LDS Instructions,48
SM 64,LDS Instructions,48
SM 4,DPU Instructions,0
SM 79,LDS Instructions,48
Config.IMU,WriteBufferSize,1
SM 24,BRU Instructions,272
SM 76,RegistersWrites,0
SM 24,DPU Instructions,0
SM 40,BlockCount,2
Config.IMU,WriteLatency,1
SM 74,LDS Instructions,48
SM 75,LDS Instructions,48
SM 25,SFU Instructions,1000
SM 4,RegistersWrites,0
SM 24,IMU Instructions,168
SM 21,DPU Instructions,0
SM 83,Cycles,101457
Config.SFU,ReadLatency,1
Config.SPU,ReadLatency,1
Config.SFU,ExecutionBufferSize,1
SM 23,DPU Instructions,0
SM 59,DPU Instructions,0
SM 68,RegistersReads,0
SM 61,BRU Instructions,96
SM 41,RegistersReads,0
SM 5,SPU Instructions,0
SM 24,LDS Instructions,104
SM 1,SFU Instructions,800
SM 12,RegistersWrites,0
SM 46,BRU Instructions,56
SM 52,DPU Instructions,0
SM 68,LDS Instructions,48
SM 0,SPU Instructions,0
SM 0,DPU Instructions,0
SM 1,InstructionsPerCycle,0
SM 43,SFU Instructions,1088
SM 34,SPU Instructions,0
SM 70,DPU Instructions,0
SM 80,RegistersReads,0
SM 18,IMU Instructions,168
SM 42,BRU Instructions,176
SM 46,LDS Instructions,48
SM 28,LDS Instructions,104
SM 63,SPU Instructions,0
SM 7,SPU Instructions,0
SM 72,SPU Instructions,0
SM 83,BRU Instructions,96
SM 15,IMU Instructions,96
SM 12,BRU Instructions,152
SM 77,LDS Instructions,48
SM 19,IMU Instructions,168
SM 75,DPU Instructions,0
SM 45,SFU Instructions,272
SM 10,SPU Instructions,0
SM 11,Cycles,101457
SM 22,InstructionsPerCycle,0
SM 34,InstructionsPerCycle,0
SM 12,BlockCount,2
SM 16,SFU Instructions,1000
SM 26,BRU Instructions,272
SM 8,LDS Instructions,88
SM 33,RegistersWrites,0
SM 62,SPU Instructions,0
Config.SM,MaxWarpsPerWarpPool,32
SM 62,BRU Instructions,96
Config.LSU,Width,1
SM 14,BRU Instructions,152
Config.Device,NumSM,84
SM 18,Cycles,101457
SM 50,Cycles,101457
SM 69,IMU Instructions,88
SM 73,BlockCount,1
SM 12,Cycles,101457
SM 16,Cycles,101457
SM 2,IMU Instructions,136
SM 76,DPU Instructions,0
SM 17,IMU Instructions,168
SM 74,InstructionsPerCycle,0
SM 78,SFU Instructions,552
SM 15,BlockCount,2
SM 22,Cycles,101457
SM 38,BlockCount,2
SM 43,InstructionsPerCycle,0
SM 31,DPU Instructions,24
SM 14,SFU Instructions,744
SM 54,RegistersWrites,0
SM 74,IMU Instructions,88
SM 51,BlockCount,1
SM 20,Cycles,101457
SM 40,Cycles,101457
SM 57,InstructionsPerCycle,0
SM 41,SFU Instructions,1088
SM 50,IMU Instructions,104
SM 63,RegistersWrites,0
SM 49,RegistersWrites,0
Config.SFU,WriteLatency,1
SM 37,RegistersWrites,0
SM 41,RegistersWrites,0
SM 57,LDS Instructions,48
SM 79,BRU Instructions,96
SM 5,RegistersWrites,0
Config.FrontEnd,MaxInstDispatchedPerType,2
SM 23,IMU Instructions,168
SM 42,RegistersWrites,0
SM 81,BlockCount,1
SM 3,SFU Instructions,800
SM 72,IMU Instructions,88
SM 41,IMU Instructions,128
SM 50,RegistersReads,0
SM 73,RegistersReads,0
SM 67,DPU Instructions,0
SM 4,SPU Instructions,0
SM 26,RegistersWrites,0
SM 52,BRU Instructions,96
SM 69,RegistersWrites,0
SM 56,Cycles,101457
SM 4,LDS Instructions,88
SM 8,DPU Instructions,0
SM 76,LDS Instructions,48
Config.SPU,NumSPULanes,32
SM 43,LDS Instructions,96
SM 30,RegistersWrites,0
SM 73,BRU Instructions,96
Config.IMU,ReadLatency,1
SM 19,RegistersWrites,0
SM 43,IMU Instructions,128
SM 35,RegistersReads,0
SM 65,IMU Instructions,88
SM 6,IMU Instructions,136
SM 65,SPU Instructions,0
SM 5,RegistersReads,0
SM 68,BRU Instructions,96
SM 2,LDS Instructions,88
SM 47,SPU Instructions,0
SM 36,Cycles,101457
SM 73,RegistersWrites,0
SM 10,Cycles,101457
SM 52,Cycles,101457
SM 2,Cycles,101457
Config.DPU,ExecutionBufferSize,15
Config.BRU,DispatchBufferSize,2
SM 22,BRU Instructions,272
SM 71,SPU Instructions,0
SM 63,LDS Instructions,48
SM 58,SFU Instructions,536
SM 23,InstructionsPerCycle,0
SM 26,RegistersReads,0
SM 69,DPU Instructions,0
SM 60,LDS Instructions,48
SM 77,SPU Instructions,0
SM 38,IMU Instructions,128
SM 46,RegistersReads,0
Config.BRU,ExecutionBufferSize,5
SM 13,DPU Instructions,0
SM 24,SPU Instructions,0
SM 72,LDS Instructions,48
SM 51,InstructionsPerCycle,0
SM 2,InstructionsPerCycle,0
SM 8,Cycles,101457
SM 59,InstructionsPerCycle,0
SM 1,LDS Instructions,88
SM 11,LDS Instructions,88
SM 74,SPU Instructions,0
Config.LSU,WriteBufferSize,1
SM 57,SPU Instructions,0
SM 27,InstructionsPerCycle,0
SM 0,InstructionsPerCycle,0
SM 71,IMU Instructions,88
SM 78,Cycles,101457
SM 0,LDS Instructions,88
SM 82,BlockCount,1
SM 13,LDS Instructions,88
SM 23,RegistersWrites,0
SM 33,SPU Instructions,0
SM 82,RegistersReads,0
SM 69,InstructionsPerCycle,0
SM 25,BRU Instructions,272
SM 51,SFU Instructions,536
SM 6,SFU Instructions,800
SM 32,IMU Instructions,128
SM 23,Cycles,101457
SM 30,SPU Instructions,0
SM 11,SFU Instructions,800
SM 17,Cycles,101457
SM 48,SFU Instructions,536
SM 34,BlockCount,2
SM 19,DPU Instructions,0
SM 7,BlockCount,2
SM 3,BRU Instructions,152
SM 38,Cycles,101457
SM 54,SPU Instructions,0
SM 70,LDS Instructions,48
SM 2,RegistersWrites,0
SM 46,DPU Instructions,0
SM 83,RegistersWrites,0
