Section,Stat,Value
SM 68,SFU Instructions,552
SM 36,BlockCount,2
SM 28,Cycles,101457
SM 6,LDS Instructions,88
SM 29,LDS Instructions,104
SM 39,InstructionsPerCycle,0
SM 66,LDS Instructions,48
SM 1,DPU Instructions,0
SM 3,SPU Instructions,0
SM 16,BlockCount,2
SM 74,BlockCount,1
SM 1,BlockCount,2
SM 28,RegistersReads,0
SM 81,SPU Instructions,0
SM 82,SPU Instructions,0
SM 55,IMU Instructions,104
SM 83,RegistersReads,0
SM 36,InstructionsPerCycle,0
SM 28,BlockCount,2
SM 68,BlockCount,1
SM 21,SFU Instructions,1000
SM 65,RegistersReads,0
SM 5,SFU Instructions,800
SM 64,SPU Instructions,0
SM 62,RegistersReads,0
SM 60,BlockCount,1
SM 18,InstructionsPerCycle,0
SM 44,RegistersReads,0
SM 19,Cycles,101457
Config.Device,Frequency,1410
SM 74,BRU Instructions,96
SM 9,Cycles,101457
SM 45,BlockCount,1
SM 59,LDS Instructions,48
SM 79,SPU Instructions,0
SM 28,InstructionsPerCycle,0
SM 53,SPU Instructions,0
SM 45,LDS Instructions,48
SM 17,RegistersReads,0
SM 53,SFU Instructions,536
SM 18,RegistersReads,0
SM 31,BlockCount,2
SM 16,SPU Instructions,0
SM 61,IMU Instructions,104
SM 78,LDS Instructions,48
SM 46,SPU Instructions,0
SM 33,RegistersReads,0
SM 77,SFU Instructions,552
SM 62,DPU Instructions,0
SM 52,IMU Instructions,104
SM 16,LDS Instructions,104
SM 69,SFU Instructions,552
SM 44,DPU Instructions,0
SM 49,DPU Instructions,0
SM 27,RegistersReads,0
SM 70,RegistersWrites,0
SM 60,RegistersWrites,0
SM 9,SFU Instructions,800
SM 38,BRU Instructions,176
SM 1,IMU Instructions,136
SM 15,SPU Instructions,0
